A7B8 : 20 F2 A3 : JSR A3F2       : 6 : A=80 X=6C Y=82 SP=EA N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 04-FF:934A????:??:?? = ???????????????
A837 : 55 42    : EOR 42,X       : 4 : A=50 X=FB Y=08 SP=EC N=0 V=1 D=0 I=1 Z=0 C=0 : FWA 00-82:38000000:00:00 = +8.75000000E-01 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A839 : 95 42    : STA 42,X       : 4 : A=50 X=FB Y=08 SP=EC N=0 V=1 D=0 I=1 Z=0 C=0 : FWA 00-82:38000000:00:00 = +8.75000000E-01 : FWB 00-00:50000000:00:?? = +9.18354962E-40
A83B : 95 47    : STA 47,X       : 4 : A=50 X=FB Y=08 SP=EC N=0 V=1 D=0 I=1 Z=0 C=0 : FWA 00-82:38000000:00:00 = +8.75000000E-01 : FWB 00-00:50000000:00:?? = +9.18354962E-40
A83D : 06 35    : ASL 35         : 5 : A=50 X=FB Y=08 SP=EC N=0 V=1 D=0 I=1 Z=1 C=0 : FWA 00-82:38000000:00:00 = +8.75000000E-01 : FWB 00-00:50000000:00:?? = +9.18354962E-40
A83F : 26 34    : ROL 34         : 5 : A=50 X=FB Y=08 SP=EC N=0 V=1 D=0 I=1 Z=1 C=0 : FWA 00-82:38000000:00:00 = +8.75000000E-01 : FWB 00-00:50000000:00:?? = +9.18354962E-40
A841 : 26 33    : ROL 33         : 5 : A=50 X=FB Y=08 SP=EC N=0 V=1 D=0 I=1 Z=1 C=0 : FWA 00-82:38000000:00:00 = +8.75000000E-01 : FWB 00-00:50000000:00:?? = +9.18354962E-40
A843 : 26 32    : ROL 32         : 5 : A=50 X=FB Y=08 SP=EC N=0 V=1 D=0 I=1 Z=1 C=0 : FWA 00-82:38000000:00:00 = +8.75000000E-01 : FWB 00-00:50000000:00:?? = +9.18354962E-40
A845 : 26 31    : ROL 31         : 5 : A=50 X=FB Y=08 SP=EC N=0 V=1 D=0 I=1 Z=0 C=0 : FWA 00-82:70000000:00:00 = +1.75000000E+00 : FWB 00-00:50000000:00:?? = +9.18354962E-40
A847 : 98       : TYA            : 2 : A=08 X=FB Y=08 SP=EC N=0 V=1 D=0 I=1 Z=0 C=0 : FWA 00-82:70000000:00:00 = +1.75000000E+00 : FWB 00-00:50000000:00:?? = +9.18354962E-40
A848 : 4A       : LSR A          : 2 : A=04 X=FB Y=08 SP=EC N=0 V=1 D=0 I=1 Z=0 C=0 : FWA 00-82:70000000:00:00 = +1.75000000E+00 : FWB 00-00:50000000:00:?? = +9.18354962E-40
A849 : A8       : TAY            : 2 : A=04 X=FB Y=04 SP=EC N=0 V=1 D=0 I=1 Z=0 C=0 : FWA 00-82:70000000:00:00 = +1.75000000E+00 : FWB 00-00:50000000:00:?? = +9.18354962E-40
A84A : 90 A4    : BCC A7F0       : 4 : A=04 X=FB Y=04 SP=EC N=0 V=1 D=0 I=1 Z=0 C=0 : FWA 00-82:70000000:00:00 = +1.75000000E+00 : FWB 00-00:50000000:00:?? = +9.18354962E-40
A7F0 : 98       : TYA            : 2 : A=04 X=FB Y=04 SP=EC N=0 V=1 D=0 I=1 Z=0 C=0 : FWA 00-82:70000000:00:00 = +1.75000000E+00 : FWB 00-00:50000000:00:?? = +9.18354962E-40
A7F1 : 55 42    : EOR 42,X       : 4 : A=54 X=FB Y=04 SP=EC N=0 V=1 D=0 I=1 Z=0 C=0 : FWA 00-82:70000000:00:00 = +1.75000000E+00 : FWB 00-00:50000000:00:?? = +9.18354962E-40
A7F3 : 95 47    : STA 47,X       : 4 : A=54 X=FB Y=04 SP=EC N=0 V=1 D=0 I=1 Z=0 C=0 : FWA 00-82:70000000:00:00 = +1.75000000E+00 : FWB 00-00:50000000:00:?? = +9.18354962E-40
A7F5 : A5 31    : LDA 31         : 3 : A=70 X=FB Y=04 SP=EC N=0 V=1 D=0 I=1 Z=0 C=0 : FWA 00-82:70000000:00:00 = +1.75000000E+00 : FWB 00-00:50000000:00:?? = +9.18354962E-40
A7F7 : C5 42    : CMP 42         : 3 : A=70 X=FB Y=04 SP=EC N=0 V=1 D=0 I=1 Z=0 C=1 : FWA 00-82:70000000:00:00 = +1.75000000E+00 : FWB 00-00:50000000:00:?? = +9.18354962E-40
A7F9 : D0 0D    : BNE A808       : 4 : A=70 X=FB Y=04 SP=EC N=0 V=1 D=0 I=1 Z=0 C=1 : FWA 00-82:70000000:00:00 = +1.75000000E+00 : FWB 00-00:50000000:00:?? = +9.18354962E-40
A808 : 90 29    : BCC A833       : 2 : A=70 X=FB Y=04 SP=EC N=0 V=1 D=0 I=1 Z=0 C=1 : FWA 00-82:70000000:00:00 = +1.75000000E+00 : FWB 00-00:50000000:00:?? = +9.18354962E-40
A80A : A5 35    : LDA 35         : 3 : A=00 X=FB Y=04 SP=EC N=0 V=1 D=0 I=1 Z=1 C=1 : FWA 00-82:70000000:00:00 = +1.75000000E+00 : FWB 00-00:50000000:00:?? = +9.18354962E-40
A80C : E5 46    : SBC 46         : 3 : A=00 X=FB Y=04 SP=EC N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 00-82:70000000:00:00 = +1.75000000E+00 : FWB 00-00:50000000:00:?? = +9.18354962E-40
A80E : 85 35    : STA 35         : 3 : A=00 X=FB Y=04 SP=EC N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 00-82:70000000:00:00 = +1.75000000E+00 : FWB 00-00:50000000:00:?? = +9.18354962E-40
A810 : A5 34    : LDA 34         : 3 : A=00 X=FB Y=04 SP=EC N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 00-82:70000000:00:00 = +1.75000000E+00 : FWB 00-00:50000000:00:?? = +9.18354962E-40
A812 : E5 45    : SBC 45         : 3 : A=00 X=FB Y=04 SP=EC N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 00-82:70000000:00:00 = +1.75000000E+00 : FWB 00-00:50000000:00:?? = +9.18354962E-40
A814 : 85 34    : STA 34         : 3 : A=00 X=FB Y=04 SP=EC N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 00-82:70000000:00:00 = +1.75000000E+00 : FWB 00-00:50000000:00:?? = +9.18354962E-40
A816 : A5 33    : LDA 33         : 3 : A=00 X=FB Y=04 SP=EC N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 00-82:70000000:00:00 = +1.75000000E+00 : FWB 00-00:50000000:00:?? = +9.18354962E-40
A818 : E5 44    : SBC 44         : 3 : A=00 X=FB Y=04 SP=EC N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 00-82:70000000:00:00 = +1.75000000E+00 : FWB 00-00:50000000:00:?? = +9.18354962E-40
