H $a348`f : bcs  $a336               85 00 08 ed NvdizC (01)
H $a336`f : ldy  $31 [$0031`m]       85 00 10 ed nvdizC (10)
H $a338`f : bmi  $a2ec               85 00 10 ed nvdizC (00)
H $a33a`f : asl  $35 [$0035`m]       85 00 10 ed nvdiZc (00)
H $a33c`f : rol  $34 [$0034`m]       85 00 10 ed nvdiZc (00)
H $a33e`f : rol  $33 [$0033`m]       85 00 10 ed nvdiZc (00)
H $a340`f : rol  $32 [$0032`m]       85 00 10 ed nvdiZc (00)
H $a342`f : rol  $31 [$0031`m]       85 00 10 ed nvdizc (20)
H $a344`f : sbc  #$00                84 00 10 ed NvdizC (00)
H $a346`f : sta  $30 [$0030`m]       84 00 10 ed NvdizC (84)
H $a348`f : bcs  $a336               84 00 10 ed NvdizC (01)
H $a336`f : ldy  $31 [$0031`m]       84 00 20 ed nvdizC (20)
H $a338`f : bmi  $a2ec               84 00 20 ed nvdizC (00)
H $a33a`f : asl  $35 [$0035`m]       84 00 20 ed nvdiZc (00)
H $a33c`f : rol  $34 [$0034`m]       84 00 20 ed nvdiZc (00)
H $a33e`f : rol  $33 [$0033`m]       84 00 20 ed nvdiZc (00)
H $a340`f : rol  $32 [$0032`m]       84 00 20 ed nvdiZc (00)
H $a342`f : rol  $31 [$0031`m]       84 00 20 ed nvdizc (40)
H $a344`f : sbc  #$00                83 00 20 ed NvdizC (00)
H $a346`f : sta  $30 [$0030`m]       83 00 20 ed NvdizC (83)
H $a348`f : bcs  $a336               83 00 20 ed NvdizC (01)
H $a336`f : ldy  $31 [$0031`m]       83 00 40 ed nvdizC (40)
H $a338`f : bmi  $a2ec               83 00 40 ed nvdizC (00)
H $a33a`f : asl  $35 [$0035`m]       83 00 40 ed nvdiZc (00)
H $a33c`f : rol  $34 [$0034`m]       83 00 40 ed nvdiZc (00)
H $a33e`f : rol  $33 [$0033`m]       83 00 40 ed nvdiZc (00)
H $a340`f : rol  $32 [$0032`m]       83 00 40 ed nvdiZc (00)
H $a342`f : rol  $31 [$0031`m]       83 00 40 ed Nvdizc (80)
H $a344`f : sbc  #$00                82 00 40 ed NvdizC (00)
H $a346`f : sta  $30 [$0030`m]       82 00 40 ed NvdizC (82)
H $a348`f : bcs  $a336               82 00 40 ed NvdizC (01)
H $a336`f : ldy  $31 [$0031`m]       82 00 80 ed NvdizC (80)
H $a338`f : bmi  $a2ec               82 00 80 ed NvdizC (01)
H $a2ec`f : rts                      82 00 80 ef NvdizC (92)
H $a7b7`f : jsr  $a1da               82 00 80 ed NvdizC (a7)
H $a1da`f : lda  $31 [$0031`m]       80 00 80 ed NvdizC (80)
H $a1dc`f : ora  $32 [$0032`m]       80 00 80 ed NvdizC (00)
H $a1de`f : ora  $33 [$0033`m]       80 00 80 ed NvdizC (00)
H $a1e0`f : ora  $34 [$0034`m]       80 00 80 ed NvdizC (00)
H $a1e2`f : ora  $35 [$0035`m]       80 00 80 ed NvdizC (00)
H $a1e4`f : beq  $a1ed               80 00 80 ed NvdizC (00)
H $a1e6`f : lda  $2e [$002e`m]       00 00 80 ed nvdiZC (00)
H $a1e8`f : bne  $a1f3               00 00 80 ed nvdiZC (00)
H $a1ea`f : lda  #$01                01 00 80 ed nvdizC (01)
H $a1ec`f : rts                      01 00 80 ef nvdizC (a1)
H $a7ba`f : beq  $a7e6               01 00 80 ef nvdizC (00)
H $a7bc`f : bmi  $a7a9               01 00 80 ef nvdizC (00)
H $a7be`f : jsr  $a385               01 00 80 ed nvdizC (a7)
H $a385`f : lda  #$6c                6c 00 80 ed nvdizC (6c)
H $a387`f : sta  $4b [$004b`m]       6c 00 80 ed nvdizC (6c)
H $a389`f : lda  #$04                04 00 80 ed nvdizC (04)
H $a38b`f : sta  $4c [$004c`m]       04 00 80 ed nvdizC (04)
H $a38d`f : ldy  #$00                04 00 00 ed nvdiZC (00)
H $a38f`f : lda  $30 [$0030`m]       82 00 00 ed NvdizC (82)
H $a391`f : sta  ($4b),Y [$046c`m]   82 00 00 ed NvdizC (82)
H $a393`f : iny                      82 00 01 ed nvdizC (a5)
H $a394`f : lda  $2e [$002e`m]       00 00 01 ed nvdiZC (00)
H $a396`f : and  #$80                00 00 01 ed nvdiZC (80)
H $a398`f : sta  $2e [$002e`m]       00 00 01 ed nvdiZC (00)
H $a39a`f : lda  $31 [$0031`m]       80 00 01 ed NvdizC (80)
H $a39c`f : and  #$7f                00 00 01 ed nvdiZC (7f)
H $a39e`f : ora  $2e [$002e`m]       00 00 01 ed nvdiZC (00)
H $a3a0`f : sta  ($4b),Y [$046d`m]   00 00 01 ed nvdiZC (00)
H $a3a2`f : lda  $32 [$0032`m]       00 00 01 ed nvdiZC (00)
H $a3a4`f : iny                      00 00 02 ed nvdizC (91)
H $a3a5`f : sta  ($4b),Y [$046e`m]   00 00 02 ed nvdizC (00)
H $a3a7`f : lda  $33 [$0033`m]       00 00 02 ed nvdiZC (00)
H $a3a9`f : iny                      00 00 03 ed nvdizC (91)
H $a3aa`f : sta  ($4b),Y [$046f`m]   00 00 03 ed nvdizC (00)
H $a3ac`f : lda  $34 [$0034`m]       00 00 03 ed nvdiZC (00)
H $a3ae`f : iny                      00 00 04 ed nvdizC (91)
H $a3af`f : sta  ($4b),Y [$0470`m]   00 00 04 ed nvdizC (00)
H $a3b1`f : rts                      00 00 04 ef nvdizC (a3)
H $a7c1`f : lda  $30 [$0030`m]       82 00 04 ef NvdizC (82)
H $a7c3`f : lsr  A                   41 00 04 ef nvdizc (69)
H $a7c4`f : adc  #$40                81 00 04 ef NVdizc (40)
H $a7c6`f : sta  $30 [$0030`m]       81 00 04 ef NVdizc (81)
H $a7c8`f : lda  #$05                05 00 04 ef nVdizc (05)
H $a7ca`f : sta  $4a [$004a`m]       05 00 04 ef nVdizc (05)
H $a7cc`f : jsr  $a7ed               05 00 04 ed nVdizc (a7)
H $a7ed`f : lda  #$71                71 00 04 ed nVdizc (71)
