A7B4 : 20 FA 92 : JSR 92FA       : 6 : A=A7 X=B6 Y=04 SP=ED N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 10-A0:00000902:00:00 = +2.30600000E+03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
92FA : 20 EC AD : JSR ADEC       : 6 : A=A7 X=B6 Y=04 SP=EB N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 10-A0:00000902:00:00 = +2.30600000E+03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A0E8 : 84 1B    : STY 1B         : 3 : A=DD X=00 Y=06 SP=E9 N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 10-A0:00000000:02:00 = +7.81250000E-03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A0EA : A5 49    : LDA 49         : 3 : A=00 X=00 Y=06 SP=E9 N=0 V=0 D=0 I=1 Z=1 C=0 : FWA 10-A0:00000000:02:00 = +7.81250000E-03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A0EC : 05 48    : ORA 48         : 3 : A=00 X=00 Y=06 SP=E9 N=0 V=0 D=0 I=1 Z=1 C=0 : FWA 10-A0:00000000:02:00 = +7.81250000E-03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A0EE : F0 2F    : BEQ A11F       : 4 : A=00 X=00 Y=06 SP=E9 N=0 V=0 D=0 I=1 Z=1 C=0 : FWA 10-A0:00000000:02:00 = +7.81250000E-03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A11F : A5 32    : LDA 32         : 3 : A=00 X=00 Y=06 SP=E9 N=0 V=0 D=0 I=1 Z=1 C=0 : FWA 10-A0:00000000:02:00 = +7.81250000E-03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A121 : 85 2D    : STA 2D         : 3 : A=00 X=00 Y=06 SP=E9 N=0 V=0 D=0 I=1 Z=1 C=0 : FWA 10-A0:00000000:02:00 = +7.81250000E-03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A123 : 29 80    : AND #80        : 2 : A=00 X=00 Y=06 SP=E9 N=0 V=0 D=0 I=1 Z=1 C=0 : FWA 10-A0:00000000:02:00 = +7.81250000E-03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A125 : 05 31    : ORA 31         : 3 : A=00 X=00 Y=06 SP=E9 N=0 V=0 D=0 I=1 Z=1 C=0 : FWA 10-A0:00000000:02:00 = +7.81250000E-03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A127 : D0 CC    : BNE A0F5       : 2 : A=00 X=00 Y=06 SP=E9 N=0 V=0 D=0 I=1 Z=1 C=0 : FWA 10-A0:00000000:02:00 = +7.81250000E-03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A129 : A5 35    : LDA 35         : 3 : A=02 X=00 Y=06 SP=E9 N=0 V=0 D=0 I=1 Z=0 C=0 : FWA 10-A0:00000000:02:00 = +7.81250000E-03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A12B : 85 2A    : STA 2A         : 3 : A=02 X=00 Y=06 SP=E9 N=0 V=0 D=0 I=1 Z=0 C=0 : FWA 10-A0:00000000:02:00 = +7.81250000E-03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A12D : A5 34    : LDA 34         : 3 : A=00 X=00 Y=06 SP=E9 N=0 V=0 D=0 I=1 Z=1 C=0 : FWA 10-A0:00000000:02:00 = +7.81250000E-03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A12F : 85 2B    : STA 2B         : 3 : A=00 X=00 Y=06 SP=E9 N=0 V=0 D=0 I=1 Z=1 C=0 : FWA 10-A0:00000000:02:00 = +7.81250000E-03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A131 : A5 33    : LDA 33         : 3 : A=00 X=00 Y=06 SP=E9 N=0 V=0 D=0 I=1 Z=1 C=0 : FWA 10-A0:00000000:02:00 = +7.81250000E-03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A133 : 85 2C    : STA 2C         : 3 : A=00 X=00 Y=06 SP=E9 N=0 V=0 D=0 I=1 Z=1 C=0 : FWA 10-A0:00000000:02:00 = +7.81250000E-03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A135 : A9 40    : LDA #40        : 2 : A=40 X=00 Y=06 SP=E9 N=0 V=0 D=0 I=1 Z=0 C=0 : FWA 10-A0:00000000:02:00 = +7.81250000E-03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A137 : 38       : SEC            : 2 : A=40 X=00 Y=06 SP=E9 N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 10-A0:00000000:02:00 = +7.81250000E-03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A138 : 60       : RTS            : 6 : A=40 X=00 Y=06 SP=EB N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 10-A0:00000000:02:00 = +7.81250000E-03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
AE2D : 90 14    : BCC AE43       : 2 : A=40 X=00 Y=06 SP=EB N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 10-A0:00000000:02:00 = +7.81250000E-03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
AE2F : 60       : RTS            : 6 : A=40 X=00 Y=06 SP=ED N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 10-A0:00000000:02:00 = +7.81250000E-03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
92FD : F0 F8    : BEQ 92F7       : 2 : A=40 X=00 Y=06 SP=ED N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 10-A0:00000000:02:00 = +7.81250000E-03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
