A808 : 20 9F 97 : JSR 979F       : 6 : A=6C X=6C Y=07 SP=ED N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 10-8C:00000902:00:00 = +2.19917297E-03 : FWB 09-FF:904A????:??:?? = ???????????????
979F : 20 78 AD : JSR AD78       : 6 : A=6C X=6C Y=07 SP=EB N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 10-8C:00000902:00:00 = +2.19917297E-03 : FWB 09-FF:904A????:??:?? = ???????????????
82F4 : A0 89    : LDY #89        : 2 : A=02 X=FF Y=89 SP=ED N=1 V=0 D=0 I=1 Z=0 C=1 : FWA 00-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
82F6 : 4A       : LSR A          : 2 : A=01 X=FF Y=89 SP=ED N=0 V=0 D=0 I=1 Z=0 C=0 : FWA 00-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
82F7 : 88       : DEY            : 2 : A=01 X=FF Y=88 SP=ED N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 00-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
82F8 : 2A       : ROL A          : 2 : A=02 X=FF Y=88 SP=ED N=0 V=0 D=0 I=1 Z=0 C=0 : FWA 00-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
82F9 : 10 FC    : BPL 82F7       : 3 : A=02 X=FF Y=88 SP=ED N=0 V=0 D=0 I=1 Z=0 C=0 : FWA 00-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
82F7 : 88       : DEY            : 2 : A=02 X=FF Y=87 SP=ED N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 00-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
82F8 : 2A       : ROL A          : 2 : A=04 X=FF Y=87 SP=ED N=0 V=0 D=0 I=1 Z=0 C=0 : FWA 00-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
82F9 : 10 FC    : BPL 82F7       : 3 : A=04 X=FF Y=87 SP=ED N=0 V=0 D=0 I=1 Z=0 C=0 : FWA 00-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
82F7 : 88       : DEY            : 2 : A=04 X=FF Y=86 SP=ED N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 00-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
82F8 : 2A       : ROL A          : 2 : A=08 X=FF Y=86 SP=ED N=0 V=0 D=0 I=1 Z=0 C=0 : FWA 00-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
82F9 : 10 FC    : BPL 82F7       : 3 : A=08 X=FF Y=86 SP=ED N=0 V=0 D=0 I=1 Z=0 C=0 : FWA 00-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
82F7 : 88       : DEY            : 2 : A=08 X=FF Y=85 SP=ED N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 00-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
82F8 : 2A       : ROL A          : 2 : A=10 X=FF Y=85 SP=ED N=0 V=0 D=0 I=1 Z=0 C=0 : FWA 00-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
82F9 : 10 FC    : BPL 82F7       : 3 : A=10 X=FF Y=85 SP=ED N=0 V=0 D=0 I=1 Z=0 C=0 : FWA 00-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
82F7 : 88       : DEY            : 2 : A=10 X=FF Y=84 SP=ED N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 00-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
82F8 : 2A       : ROL A          : 2 : A=20 X=FF Y=84 SP=ED N=0 V=0 D=0 I=1 Z=0 C=0 : FWA 00-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
82F9 : 10 FC    : BPL 82F7       : 3 : A=20 X=FF Y=84 SP=ED N=0 V=0 D=0 I=1 Z=0 C=0 : FWA 00-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
82F7 : 88       : DEY            : 2 : A=20 X=FF Y=83 SP=ED N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 00-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
82F8 : 2A       : ROL A          : 2 : A=40 X=FF Y=83 SP=ED N=0 V=0 D=0 I=1 Z=0 C=0 : FWA 00-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
82F9 : 10 FC    : BPL 82F7       : 3 : A=40 X=FF Y=83 SP=ED N=0 V=0 D=0 I=1 Z=0 C=0 : FWA 00-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
82F7 : 88       : DEY            : 2 : A=40 X=FF Y=82 SP=ED N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 00-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
82F8 : 2A       : ROL A          : 2 : A=80 X=FF Y=82 SP=ED N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 00-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
82F9 : 10 FC    : BPL 82F7       : 2 : A=80 X=FF Y=82 SP=ED N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 00-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
82FB : 84 30    : STY 30         : 3 : A=80 X=FF Y=82 SP=ED N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 00-82:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
82FD : 64 2F    : STZ 2F         : 3 : A=80 X=FF Y=82 SP=ED N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 00-82:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
